Sequence Number,Digital 1,Digital 2,Digital 3,Digital 4,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,EEG (V)
0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,538.0,0.0,0.0,2.005386589919104e-06
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,2.468168110669666e-06
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,2.6224286175865204e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,3.0080798848786556e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,2.391037857211239e-06
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,3.3937311521707908e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,0.0,3.6251219125460725e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,3.1623403917955095e-06
8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,555.0,0.0,0.0,3.3166008987123643e-06
9.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,559.0,0.0,0.0,3.6251219125460725e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,3.085210138337083e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,2.5452983641280934e-06
13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,554.0,0.0,0.0,3.239470645253937e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,2.5452983641280934e-06
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,549.0,0.0,0.0,2.8538193779618017e-06
1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,548.0,0.0,0.0,2.7766891245033747e-06
2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,551.0,0.0,0.0,3.0080798848786556e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,3.3937311521707908e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,3.0080798848786556e-06
5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,557.0,0.0,0.0,3.470861405629218e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,3.470861405629218e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,3.1623403917955095e-06
8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,2.6995588710449477e-06
9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,553.0,0.0,0.0,3.1623403917955095e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,0.0,2.7766891245033747e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,2.391037857211239e-06
13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,0.0,2.7766891245033747e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,2.468168110669666e-06
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,2.6224286175865204e-06
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,3.547991659087645e-06
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,3.547991659087645e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,3.933642926379781e-06
5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,566.0,0.0,0.0,4.165033686755062e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,0.0,3.6251219125460725e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,3.3937311521707908e-06
8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,2.1596470968359578e-06
9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,542.0,0.0,0.0,2.313907603752812e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,2.313907603752812e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,2.082516843377531e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,1.6197353226269684e-06
13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,537.0,0.0,0.0,1.928256336460677e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,1.8511260830022495e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,1.5426050691685415e-06
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,539.0,0.0,0.0,2.082516843377531e-06
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,1.8511260830022495e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,2.2367773502943847e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,2.6224286175865204e-06
5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,550.0,0.0,0.0,2.9309496314202286e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,2.313907603752812e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,537.0,0.0,0.0,1.928256336460677e-06
9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,1.3112143087932602e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,1.002693294959552e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,6.941722811258437e-07
13.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,525.0,0.0,0.0,1.002693294959552e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,1.156953801876406e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,1.4654748157101143e-06
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,8.484327880426977e-07
1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,8.484327880426977e-07
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,536.0,0.0,0.0,1.8511260830022495e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,1.8511260830022495e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,1.6968655760853954e-06
8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,1.3883445622516874e-06
9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,1.3112143087932602e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,1.928256336460677e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,2.5452983641280934e-06
13.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,541.0,0.0,0.0,2.2367773502943847e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,1.6968655760853954e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,1.156953801876406e-06
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,4.627815207505624e-07
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,1.0798235484179789e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,1.5426050691685415e-06
5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,528.0,0.0,0.0,1.234084055334833e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,7.713025345842707e-07
