Sequence Number n,EEG (V),,,
0,2.01E-06,,,
1,2.47E-06,,,
2,2.62E-06,,,
3,3.01E-06,,,       ch 10 oppnhimer 
4,2.39E-06,,,           Welish modified perodgrams 
5,3.39E-06,,,
6,3.63E-06,,,               0 to 500 cuz symtric
7,3.16E-06,,,
8,3.32E-06,,,
9,3.63E-06,,,
10,3.09E-06,,,
11,2.93E-06,,,
12,2.55E-06,,,
13,3.24E-06,,,
14,2.93E-06,,,
15,2.55E-06,,,
0,2.85E-06,,,
1,2.78E-06,,,
2,3.01E-06,,,
3,3.39E-06,,,
4,3.01E-06,,,
5,3.47E-06,,,
6,3.47E-06,,,
7,3.16E-06,,,
8,2.70E-06,,,
9,3.16E-06,,,
10,2.93E-06,,,
11,2.78E-06,,,
12,2.39E-06,,,
13,2.93E-06,,,
14,2.78E-06,,,
15,2.47E-06,,,
0,2.62E-06,,,
1,3.55E-06,,,
2,2.93E-06,,,
3,3.55E-06,,,
4,3.93E-06,,,
5,4.17E-06,,,
6,3.63E-06,,,
7,3.39E-06,,,
8,2.16E-06,,,
9,2.31E-06,,,
10,2.31E-06,,,
11,2.08E-06,,,
12,1.62E-06,,,
13,1.93E-06,,,
14,1.85E-06,,,
15,1.77E-06,,,
0,1.54E-06,,,
1,2.08E-06,,,
2,1.85E-06,,,
3,2.24E-06,,,
4,2.62E-06,,,
5,2.93E-06,,,
6,2.31E-06,,,
7,1.77E-06,,,
8,1.93E-06,,,
9,1.77E-06,,,
10,1.31E-06,,,
11,1.00E-06,,,
12,6.94E-07,,,
13,1.00E-06,,,
14,1.16E-06,,,
15,1.47E-06,,,
0,8.48E-07,,,
1,9.26E-07,,,
2,9.26E-07,,,
3,8.48E-07,,,
4,9.26E-07,,,
5,1.85E-06,,,
6,1.85E-06,,,
7,1.70E-06,,,
8,1.39E-06,,,
9,1.77E-06,,,
10,1.31E-06,,,
11,1.93E-06,,,
12,2.55E-06,,,
13,2.24E-06,,,
14,1.70E-06,,,
15,1.16E-06,,,
0,4.63E-07,,,
1,9.26E-07,,,
2,9.26E-07,,,
3,1.08E-06,,,
4,1.54E-06,,,
5,1.23E-06,,,
6,7.71E-07,,,
7,2.31E-07,,,
8,1.54E-07,,,
9,4.63E-07,,,
10,3.09E-07,,,
11,-1.54E-07,,,
12,1.54E-07,,,
13,6.17E-07,,,
14,3.86E-07,,,
15,0,,,
0,2.31E-07,,,
1,3.09E-07,,,
2,5.40E-07,,,
3,1.08E-06,,,
4,6.17E-07,,,
5,1.00E-06,,,
6,1.08E-06,,,
7,2.31E-07,,,
8,-4.63E-07,,,
9,1.54E-07,,,
10,-3.09E-07,,,
11,-3.09E-07,,,
12,-6.17E-07,,,
13,1.54E-07,,,
14,7.71E-08,,,
15,0,,,
0,2.31E-07,,,
1,1.00E-06,,,
2,1.62E-06,,,
3,1.70E-06,,,
4,2.08E-06,,,
5,1.85E-06,,,
6,1.47E-06,,,
7,9.26E-07,,,
8,3.86E-07,,,
9,6.17E-07,,,
10,5.40E-07,,,
11,3.09E-07,,,
12,0,,,
13,3.86E-07,,,
14,3.09E-07,,,
15,3.09E-07,,,
0,2.31E-07,,,
1,1.08E-06,,,
2,1.08E-06,,,
3,1.08E-06,,,
4,1.47E-06,,,
5,2.16E-06,,,
6,1.47E-06,,,
7,1.00E-06,,,
8,1.08E-06,,,
9,1.54E-06,,,
10,2.24E-06,,,
11,2.70E-06,,,
12,2.39E-06,,,
13,2.16E-06,,,
14,2.24E-06,,,
15,2.55E-06,,,
0,1.93E-06,,,
1,2.01E-06,,,
2,2.31E-06,,,
3,2.16E-06,,,
4,1.93E-06,,,
5,2.39E-06,,,
6,1.54E-06,,,
7,9.26E-07,,,
8,4.63E-07,,,
9,9.26E-07,,,
10,5.40E-07,,,
11,0,,,
12,1.54E-07,,,
13,7.71E-08,,,
14,-7.71E-08,,,
15,-3.09E-07,,,
0,-4.63E-07,,,
1,7.71E-08,,,
2,2.31E-07,,,
3,5.40E-07,,,
4,1.54E-06,,,
5,1.39E-06,,,
6,6.17E-07,,,
7,7.71E-08,,,
8,-3.09E-07,,,
9,3.09E-07,,,
10,7.71E-08,,,
11,-2.31E-07,,,
12,7.71E-08,,,
13,6.17E-07,,,
14,5.40E-07,,,
15,3.09E-07,,,
0,6.94E-07,,,
1,6.17E-07,,,
2,8.48E-07,,,
3,1.31E-06,,,
4,1.00E-06,,,
5,1.39E-06,,,
6,1.31E-06,,,
7,1.23E-06,,,
8,5.40E-07,,,
9,1.08E-06,,,
10,1.08E-06,,,
11,8.48E-07,,,
12,5.40E-07,,,
13,1.00E-06,,,
14,5.40E-07,,,
15,2.31E-07,,,
0,6.94E-07,,,
1,1.23E-06,,,
2,1.16E-06,,,
3,1.47E-06,,,
4,2.16E-06,,,
5,2.01E-06,,,
6,1.93E-06,,,
7,1.08E-06,,,
8,4.63E-07,,,
9,9.26E-07,,,
10,9.26E-07,,,
11,7.71E-07,,,
12,3.86E-07,,,
13,7.71E-07,,,
14,7.71E-07,,,
15,8.48E-07,,,
0,6.94E-07,,,
1,1.08E-06,,,
